"country","populasi","konsumsi_listrik"
China,1440297825,7028
India,1382345085,1294
United States,331341050,3803
Indonesia,274021604,257
Brazil,212821986,533
Nigeria,206984347,29
Russia,145945524,909
Mexico,129166028,282
Japan,126407422,928
Egypt,102659126,163
Turkey,84495243,263
Iran,84176929,277
Germany,83830972,490
Thailand,69830779,187
United Kingdom,67948282,289
France,65298930,420
Italy,60446035,284
South Africa,59436725,193
South Korea,51276977,527
Colombia,50976248,72
Spain,46757980,227
Argentina,45267449,125
Algeria,43984569,69
Ukraine,43686577,117
Poland,37839255,148
Canada,37799407,561
Saudi Arabia,34905942,308
Uzbekistan,33551824,53
Malaysia,32436963,152
Australia,25550683,239
Taiwan,23824369,256
Romania,19214608,48
Chile,19144605,75
Kazakhstan,18815231,80
Netherlands,17141544,114
Belgium,11598451,81
Portugal,10191409,47
Sweden,10110233,127
United Arab Emirates,9910892,123
Norway,5428594,123
New Zealand,4829021,39
Kuwait,4281320,65